W,Frequence,Mut,Freedom_L,Freedom_R,mark
火钳刘名,297,7.5,2.214,2.616,1
火钳刘明,172420,13.9,6.187,6.671,1
火钳留名,3202,9.9,4.484,5.284,1
鸡喙,289,7.3,2.33,3.065,1
鸡你太美,16267,7,4.774,5.402,1
基德大人,299,7.6,3.649,4.054,0
激光雨,547,10.4,3.479,3.775,1
羁绊者,326,16.1,3.542,4.199,1
吉吉国王,1516,11.9,4.041,4.49,1
极度舒适,1269,10.6,4.821,5.601,0
极其残忍,2794,11.7,4.74,5.826,0
疾风传,316,11.2,4.086,3.265,1
疾风剑豪,295,11.1,4.277,4.78,1
集美们,324,6.9,2.902,3.713,1
几几开,721,9.7,4.904,4.334,1
几你太美,467,6.7,3.105,2.892,1
计数君,4319,13.5,4.865,4.172,1
计数菌,644,11.6,2.994,3.781,1
既视感,360,11.3,3.017,4.07,1
寄刀片,508,7.7,4.531,4.209,1
稷下f4,270,9.8,5.018,4.141,1
加里奥,1867,6.1,3.741,6.172,1
加密通话,600,10.2,4.263,4.784,1
加入直播间,827,5.8,2.331,3.125,1
加藤惠,265,9.3,4.063,2.755,1
家暴现场,382,9.1,4.709,4.938,1
嘉德罗斯,1546,8.9,3.26,2.472,1
贾克斯,1111,10.3,5.407,6.023,1
假粉丝,370,6.7,2.035,5.14,1
假高能,310,5.3,3.971,4.399,1
假面骑士,1645,8.9,4.681,4.817,1
减cd,269,7.4,4.239,4.762,0
简自豪,320,8.3,3.954,5.098,1
见封进,1325,6.9,3.693,5.789,1
见基行事,313,6.5,5.136,4.484,1
见证历史,6434,12.2,4.538,5.217,1
建国同志,14631,14.7,2.232,5.167,1
建议屏蔽,1140,14.3,4.842,5.051,0
剑姬,1023,7,4.485,5.521,1
剑仙,611,5.8,3.905,4.814,1
鉴定完毕,303,11.1,4.461,4.041,0
键盘侠,817,8.7,5.045,5.289,1
姜sir,292,8.5,3.473,4.925,1
降维打击,335,11.7,3.495,4.318,1
交出封面,569,5.8,3.868,4.06,1
交封不杀,544,7.6,3.446,4.195,1
蕉灼,906,9.8,2.574,2.919,1
皎月,913,8.1,5.486,5.613,1
教唆粉丝,307,11.7,3.044,2.847,1
接q,473,6.2,4.241,5.096,1
接受挑战,1636,9.4,4.66,4.774,1
接头霸王,733,7,4.908,4.925,1
节操社,370,11.1,4.603,2.598,1
节目效果,1492,12.6,5.382,5.554,1
杰诺斯,482,10.1,2.287,4.53,1
结束游戏,363,15.3,3.725,3.753,0
截图成功,679,9.9,4.257,4.763,0
解除封印,269,9.9,3.656,3.801,0
借你吉言,12068,7.6,4.972,5.094,0
借您吉言,1949,7.6,2.802,4.247,0
金馆长,280,9.2,3.587,3.459,1
金坷垃,4726,14.3,4.097,3.426,1
金克斯,960,8.1,4.64,5.592,1
金木小天使,1098,6.2,4.36,4.834,1
金色传说,1595,8,2.842,5.704,1
金色的雨,311,9.4,4.257,4.936,1
进击的巨人,2117,13.7,4.917,5.364,0
进入了直播间,6819,17.9,6.097,5.896,0
进入直播间,90286,10.5,7.546,7.233,0
劲夫劲夫,277,9.2,3.423,3.096,0
禁忌二重唱,1077,13,3.724,4.138,1
禁止套娃,1573,13,4.814,5.331,1
京阿尼,273,5.4,2.943,2.441,1
京极真,264,9,2.72,4.448,1
京剧猫,699,10,4.351,4.7,1
经典老番,692,13.2,4.259,5.26,0
经费爆炸,2079,13.6,4.799,5.24,0
经济差,374,15.7,4.379,4.038,1
精神小伙,1283,7.8,4.435,5.419,1
境界的彼方,511,16.7,3.571,4.463,1
啾啾,362,10.5,2.333,2.733,1
九头蛇,1041,8.1,5.666,5.307,1
九月天,404,6.6,3.209,3.324,1
久等了,4956,7.1,4.651,6.46,1
乆乇,1438,10.9,3.42,2.833,1
韭菜盒子,346,9.6,2.072,3.998,1
橘里橘气,542,8.4,4.882,4.079,1
橘势大好,299,14.5,3.773,4.504,1
举报了,3525,12.4,5.101,6.07,1
巨浪已到,907,10.1,4.062,4.494,1
巨魔战将,316,6.8,2.405,3.604,1
句句经典,521,10.6,4.396,4.098,1
卷走,526,5.7,2.671,2.095,1
绝地求生,836,6.4,5.308,5.376,1
绝世好活,701,7.9,4.082,5.205,1
卡bug,2080,5.2,3.845,5.226,1
卡q因,267,7.8,3.484,2.332,1
卡尔玛,581,7.9,5.622,4.668,1
卡卡罗特,853,5.2,3.528,3.656,1
卡卡西,1542,5.8,5.426,3.896,1
卡莉斯塔,348,8,4.292,4.486,1
卡米亚,564,5.2,3.367,4.335,1
卡住了,430,5.9,4.507,5.233,0
开口脆,1756,7.2,4.219,4.384,1
开口跪,7826,8.7,5.079,5.202,1
开幕雷击,9888,11.2,5.396,6.24,0
开屏雷击,1363,8.1,4.147,5.03,0
开始吟唱,3159,11.6,4.824,5.61,1
开头见,12749,7.9,4.605,5.784,0
铠甲勇士,676,7.6,5.031,5.052,1
砍猴,256,7.3,2.825,4.453,1
看直播,1524,5.7,4.171,4.779,1
康娜酱,270,9.6,3.313,4.514,1
尻面筋,895,7.7,2.611,2.545,1
拷走,469,7,2.749,2.863,1
靠谱,669,7.8,4.714,4.125,1
珂朵莉,1253,10.5,4.427,2.265,1
柯哀王道,287,12,2.879,3.241,1
科技枪,440,12.7,5.191,5.237,1
可海星,392,5.9,4.419,4.953,1
克苏鲁,377,8.5,3.194,3.844,1
氪金,2093,6.9,4.361,3.442,1
空降成功,1935,10.6,5.482,6.13,1
恐怖如斯,680,13.9,4.602,4.405,1
恐龙妈妈,2527,10.6,4.045,4.287,1
抠脚,326,9.1,3.555,4.804,1
口嗨,313,6.4,3.199,5.082,1
口吐芬芳,2799,8.5,5.781,6.302,1
快乐风男,564,6.2,4.732,2.619,1
快乐源泉,628,6.3,2.512,4.539,1
快离开,2219,6.8,2.126,4.547,0
快跑,7324,6.4,3.338,4.017,0
狂魔,350,6.4,3.769,4.648,1
狂三,1093,6.4,4.312,3.081,1
魁拔魁拔,698,14.5,2.866,3.859,1
坤坤,6515,7.8,4.089,5.244,1
鲲鲲,523,8.9,3.435,4.079,1
拉胯,763,8.1,4.758,4.898,1
拉跨,573,7.4,4.233,4.507,1
拉普兰德,2444,10.3,4.656,3.246,1
