Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Rep,Den,Bvid,Tname,View,Like,Danmaku,Reply,Coin,Share,Favorite,Length,Mark
小嘴抹了蜜,5,41,6,4.619,4.766,1,0.074,BV1Jt411r7yv,鬼畜调教,1735236,57209,10468,2474,70747,50549,42020,556,1
小嘴抹了蜜,5,62,5.7,4.772,4.758,1,0.765,BV1E7411h761,鬼畜调教,3180088,243471,12048,2508,125463,31706,111597,81,1
小天使,3,44,5.4,4.51,3.806,2,0.049,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,-1
小妖精,3,36,5.9,3.243,4.948,1,0.197,BV14p411d7Zm,鬼畜调教,2790187,44381,9211,9825,78225,35915,42203,183,-1
小时候,3,21,6.1,2.617,3.559,1,0.037,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,0
小时前,3,21,5.5,2.599,4.107,1,0.024,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,-1
小时前,3,26,6.4,2.643,3.791,1,0.046,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,-1
小时前,3,40,6.7,3.737,4.237,1,0.333,BV1nt411M7Wk,鬼畜调教,1465881,117540,7199,2246,79013,16223,61333,120,-1
小时前,3,91,6.3,3.091,3.772,1,0.419,BV1Jt411F7vW,搞笑,1447252,119401,10251,1634,83261,16011,44088,217,-1
小时,2,22,5.6,2.492,2.273,1,0.062,BV1wb411A7rc,搞笑,2671992,75930,12355,4291,34050,13658,10306,352,0
小时,2,24,5.2,3.236,2.06,1,0.091,BV1T4411f7yB,人力VOCALOID,3456514,142890,19232,6682,122239,10919,111403,264,0
小朋友,3,15,5.9,3,3.59,1,0.096,BV17y4y1k7cf,鬼畜剧场,9080936,524329,20484,7778,411321,296994,258458,156,0
小男孩,3,53,6.3,2.442,3.35,1,0.414,BV1mv411v7D3,搞笑,1610244,99031,5628,1176,23913,25260,25095,128,-1
小葵花,3,18,5.4,3.461,3.197,1,0.02,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,-1
少女口阿,4,90,5.3,4.944,4.912,2,1.085,BV16E411g7Wp,鬼畜调教,14094497,935818,26819,6148,287875,80501,367484,82,1
尤里,2,27,6.2,4.505,4.31,1,0.3,BV16k4y197aT,鬼畜调教,1531537,105585,3296,1876,68133,11761,49720,90,1
就是,2,21,5.8,2.72,2.777,1,0.175,BV1nt411M7Wk,鬼畜调教,1465881,117540,7199,2246,79013,16223,61333,120,0
尸体,2,17,7.1,3.175,3.69,1,0.019,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,0
尸斑,2,18,7,3.572,3.837,1,0.032,BV1Jt411r7yv,鬼畜调教,1735236,57209,10468,2474,70747,50549,42020,556,-1
尻比,2,129,7,3.819,3.352,18,0.585,BV1rs411w7h7,鬼畜调教,1697870,51722,24852,5303,69449,23454,48680,142,-1
